d,reservas_musd,EMAE,IPC_VAR,Base_Monetaria,saldo comercial,Precio_Maiz,Precio_Trigo,Precio_Soja,Brecha_Usd,Tasa_Badlar,riesgo_pais,Tasa de interes Internacional,VIX,reservas_lag1,EMAE_lag1,target_reservas_next_month,cepo,cosecha_gruesa,sequia,anio_electoral,cosecha_efectiva,desembolso_fmi,trimestre,es_diciembre,brecha_promedio_3m
1998-12-31,32741.7,101.33597607343252,0.0,15460.75,-247.22,92.7170656696428,111.804587463768,204.9125219625,0.0,10.85625,718.13,5.56,23.87,,,33044.2,0,0,0,0,0,0,4,1,
1999-01-31,33044.2,101.88671507383158,0.005,15621.25,-362.79,92.9470118303571,111.893213492063,195.036666275,0.0,10.85625,800.44,5.51,20.0,32741.7,101.33597607343252,33319.55,0,0,0,1,0,0,1,0,
1999-02-28,33319.55,102.4202434804682,-0.002,14959.9,-331.77,83.5984030357143,104.278526,179.67167219375,0.0,8.89375,769.55,5.49,20.16,33044.2,101.88671507383158,33503.13043478261,0,0,0,1,0,0,1,0,0.0
1999-03-31,33503.13043478261,102.05021571457506,-0.008,14651.04347826087,-80.54,86.3819147321428,104.575670434783,175.0552838375,0.0,6.804347826086956,715.17,5.45,22.03,33319.55,102.4202434804682,32526.6,0,0,0,1,0,0,1,0,0.0
1999-04-30,32526.6,100.5184728697151,-0.001,14358.35,160.97,87.1209208758503,102.331111666667,177.5357313125,0.0,5.75625,625.59,5.49,20.87,33503.13043478261,102.05021571457506,31701.3,0,1,0,1,1,0,2,0,0.0
1999-05-31,31701.3,100.80244766679589,-0.005,14434.8,289.18,85.6504712053571,99.6103306349206,171.44944815625,0.0,6.51875,672.35,5.56,21.66,32526.6,100.5184728697151,31500.55,0,1,0,1,1,0,2,0,0.0
1999-06-30,31500.55,100.64755232293363,0.0,14296.15,-82.99,85.4093406300459,99.9427733333333,170.0025204625,0.0,8.084375,750.91,5.54,19.93,31701.3,100.80244766679589,33312.28571428572,0,1,0,1,1,0,2,0,0.0
1999-07-31,33312.28571428572,99.26209952505464,0.002,14887.476190476193,-337.18,87.2228376839286,93.0139676190476,158.31226338125,0.0,8.175595238095237,859.36,5.55,31.59,31500.55,100.64755232293363,32562.0,0,1,0,1,1,0,3,0,0.0
1999-08-31,32562.0,100.70778940110227,-0.004,14741.523809523807,-231.87,92.9532749553571,98.0220816666666,172.00065870625,0.0,8.110119047619046,850.18,5.51,38.2,33312.28571428572,99.26209952505464,32329.68181818182,0,0,0,1,0,0,3,0,0.0
1999-09-30,32329.68181818182,100.93152712001442,-0.002,14317.54545454545,-336.3,95.0816190401786,94.79866,180.63629065625,0.0,8.806818181818182,709.27,5.07,36.61,32562.0,100.70778940110227,32946.25,0,0,0,1,0,0,3,0,0.0
1999-10-31,32946.25,101.23271251085768,0.0,14195.45,-312.16,95.1693511057143,88.5522366666667,178.1788102875,0.0,10.76875,647.1,4.83,26.22,32329.68181818182,100.93152712001442,33384.04545454546,0,0,0,1,0,0,4,0,0.0
1999-11-30,33384.04545454546,101.6027402767508,-0.003,14098.95454545455,-324.61,95.5393729517857,91.6754483333333,171.1968099875,0.0,10.39488636363636,632.27,4.68,25.48,32946.25,101.23271251085768,33907.14285714286,0,0,0,1,0,0,4,0,0.0
1999-12-31,33907.14285714286,103.34961554364168,-0.001,15040.09523809524,-249.48,95.5305508928571,90.4373465217391,169.95658625,0.0,11.84226190476191,580.52,4.63,28.04,33384.04545454546,101.6027402767508,32183.57142857143,0,0,0,1,0,0,4,1,0.0
2000-01-31,32183.57142857143,101.47366082353228,0.008,15351.33333333333,-83.95,84.0395145034014,93.6228626666666,180.3836524875,0.0,8.160714285714286,556.35,4.76,28.82,33907.14285714286,103.34961554364168,33321.47619047619,0,0,0,0,0,0,1,0,0.0
2000-02-29,33321.47619047619,102.09324219898126,0.0,14452.09523809524,-124.44,75.057375212585,98.1668294444444,185.75795535,0.0,8.869047619047617,560.2,4.81,25.31,32183.57142857143,101.47366082353228,33654.95652173913,0,0,0,0,0,0,1,0,0.0
2000-03-31,33654.95652173913,101.61134557363204,-0.005,14019.0,44.33,75.2405311428571,96.3962107246377,190.97148846875,0.0,7.581521739130434,538.13,4.74,23.48,33321.47619047619,102.09324219898126,33194.94444444445,0,0,0,0,0,0,1,0,0.0
2000-04-30,33194.94444444445,100.81105296367711,-0.001,13998.77777777778,418.98,80.150576268797,94.4312233333333,197.1037058375,0.0,7.506944444444445,591.21,4.74,26.2,33654.95652173913,101.61134557363204,32440.28571428571,0,1,0,0,1,0,2,0,0.0
2000-05-31,32440.28571428571,99.5804955096604,-0.004,13935.28571428571,385.21,84.7072744047619,99.1120469565218,200.8703112625,0.0,8.732142857142858,680.22,4.76,23.63,33194.94444444445,100.81105296367711,33192.52380952381,0,1,0,0,1,0,2,0,0.0
2000-06-30,33192.52380952381,99.58910080654164,-0.002,13828.0,212.47,88.9371078282313,103.366615,186.952244875,0.0,7.946428571428571,669.23,4.99,21.05,32440.28571428571,99.5804955096604,35201.28571428572,0,1,0,0,1,0,2,0,0.0
2000-07-31,35201.28571428572,100.45823579154644,0.004,14392.90476190476,162.52,96.2242037593985,97.1257588888889,169.497244125,0.0,7.761904761904764,644.86,5.07,24.32,33192.52380952381,99.58910080654164,33451.18181818182,0,1,0,0,1,0,3,0,0.0
2000-08-31,33451.18181818182,99.6063114003041,-0.002,14141.90909090909,-103.24,94.2972332706767,96.6518188405797,167.86657958125,0.0,7.653409090909091,685.57,5.22,24.54,35201.28571428572,100.45823579154644,33488.76190476191,0,0,0,0,0,0,3,0,0.0
2000-09-30,33488.76190476191,99.5804955096604,-0.002,13790.90476190476,74.28,92.3775148214285,103.44217015873,180.45255380625,0.0,8.395833333333334,679.0,5.2,24.02,33451.18181818182,99.6063114003041,33627.80952380953,0,0,0,0,0,0,3,0,0.0
2000-10-31,33627.80952380953,99.47723194708556,0.002,13711.428571428572,-179.82,91.0121535714286,107.775855,173.60835614375,0.0,9.300595238095235,756.95,5.42,21.82,33488.76190476191,99.5804955096604,31335.09523809524,0,0,0,0,0,0,4,0,0.0
2000-11-30,31335.09523809524,98.79741349346794,-0.005,13548.04761904762,-37.68,87.5450665178572,105.036781666667,177.19122471875,0.0,12.866071428571432,860.64,5.3,22.16,33627.80952380953,99.47723194708556,32267.27777777778,0,0,0,0,0,0,4,0,0.0
2000-12-31,32267.27777777778,102.76445535571764,-0.001,14122.72222222222,291.89,85.0775230867347,113.740020166667,185.96465930625,0.0,14.673611111111112,804.3,5.45,23.2,31335.09523809524,98.79741349346794,35623.77272727273,0,0,0,0,0,0,4,1,0.0
2001-01-31,35623.77272727273,100.33776163520912,0.001,14365.81818181818,87.25,83.1606659863946,109.479425,175.4227575375,0.0,8.761363636363635,701.32,5.73,23.6,32267.27777777778,102.76445535571764,34270.3,0,0,0,0,0,0,1,0,0.0
2001-02-28,34270.3,100.19147158822814,-0.002,13980.75,89.49,90.7546695436508,103.323190666667,167.45317166875,0.0,6.415625,705.15,5.85,22.72,35623.77272727273,100.33776163520912,32782.54545454546,0,0,0,0,0,0,1,0,0.0
2001-03-31,32782.54545454546,99.47723194708556,0.002,13846.59090909091,-11.45,92.8790316381988,105.571235,164.37557943125,0.0,15.07386363636364,840.23,6.02,27.16,34270.3,100.19147158822814,28647.61111111111,0,0,0,0,0,0,1,0,0.0
2001-04-30,28647.61111111111,99.9419179786723,0.007,13565.611111111108,474.08,89.7439884868421,106.154202698413,158.6108357625,0.0,18.94791666666667,972.75,6.27,26.37,32782.54545454546,99.47723194708556,26566.04761904761,0,1,0,0,1,0,2,0,0.0
2001-05-31,26566.04761904761,99.67515377535396,0.001,13251.19047619048,486.59,86.2677391304348,110.774167246377,163.87030309375,0.0,15.83035714285714,990.83,6.53,21.54,28647.61111111111,99.9419179786723,26469.45,0,1,0,0,1,0,2,0,0.0
2001-06-30,26469.45,99.18465185312354,-0.007,14801.9,767.6,89.8825542410714,109.426138730159,170.232191525,0.0,12.634375,955.05,6.54,19.89,26566.04761904761,99.67515377535396,24014.14285714285,0,1,0,0,1,0,2,0,0.0
2001-07-31,24014.14285714285,96.59445749187157,-0.003,15008.7619047619,583.68,92.3115151680672,108.343711666667,186.65367249375,0.0,33.80059523809524,1386.23,6.5,18.09,26469.45,99.18465185312354,18743.0,0,1,0,0,1,0,3,0,0.0
2001-08-31,18743.0,95.26924177216124,-0.004,13484.40909090909,687.75,91.9669605867347,104.224209275362,182.74926443125,0.0,35.60227272727273,1488.91,6.52,19.69,24014.14285714285,96.59445749187157,22913.55,0,0,0,0,0,0,3,0,0.0
2001-09-30,22913.55,93.17815463002096,-0.001,12822.25,760.78,90.728193843985,103.176216,172.3451653,0.0,26.890625,1536.95,6.51,25.2,18743.0,95.26924177216124,23460.36363636364,0,0,0,0,0,0,3,0,0.0
2001-10-31,23460.36363636364,91.24196283174292,-0.004,12243.95454545455,538.65,89.8579491071429,104.831278550725,160.6319411125,0.0,28.88352272727273,1811.22,6.51,26.38,22913.55,93.17815463002096,19195.2380952381,0,0,0,0,0,0,4,0,0.0
2001-11-30,19195.2380952381,90.21793250287588,-0.003,11556.28571428571,736.57,87.1066477678571,106.801591111111,162.5611780375,0.0,41.97619047619048,2732.95,6.4,26.53,23460.36363636364,91.24196283174292,15322.2,0,0,0,0,0,0,4,0,0.0
2001-12-31,15322.2,87.36957923518683,-0.001,11262.75,1022.16,90.3313050170068,104.370385166667,160.14963188125,0.0,9.916666666666666,4417.19,5.98,24.92,19195.2380952381,90.21793250287588,15012.04545454545,1,0,0,0,0,0,4,1,0.0
2002-01-31,15012.04545454545,85.295702686809,0.023,13913.81818181818,967.24,93.1698001339286,106.189196666667,160.05776345625,0.0,7.5,4332.41,5.49,23.41,15322.2,87.36957923518683,13828.5,1,0,0,0,0,0,1,0,0.0
2002-02-28,13828.5,85.30430798369022,0.031,19956.05,1154.17,99.7000026785715,103.837602,160.19556609375,0.0,12.94196428571429,4212.9,5.31,28.5,15012.04545454545,85.295702686809,13389.315789473692,1,0,0,0,0,0,1,0,0.0
2002-03-31,13389.315789473692,84.58146304566645,0.04,21329.31578947368,1519.51,109.891001785714,102.551573666667,168.69339540625,0.0583333333333333,21.17763157894737,4749.76,4.8,28.13,13828.5,85.30430798369022,12453.95238095238,1,0,0,0,0,0,1,0,0.019444444444444434
2002-04-30,12453.95238095238,84.63309482695385,0.104,20783.71428571429,1569.68,113.941454196429,104.802958333333,171.35757973125,0.020979020979021,82.19166666666666,4835.86,4.21,22.94,13389.315789473692,84.58146304566645,11027.13636363636,1,1,0,0,1,0,2,0,0.026437451437451433
2002-05-31,11027.13636363636,85.56246689012733,0.04,21465.45454545454,1507.7,109.64680993323,104.096405217391,176.64001416875,-0.03003003003003,122.5994318181818,5389.35,3.97,20.94,12453.95238095238,84.63309482695385,9909.947368421052,1,1,0,0,1,0,2,0,0.016427441427441434
2002-06-30,9909.947368421052,85.5796774838898,0.036,20403.47368421053,1543.71,108.646429375,115.411857,185.36751454375,-0.0082872928176795,109.47697368421052,6232.6,3.77,22.32,11027.13636363636,85.56246689012733,9204.90909090909,1,1,0,0,1,0,2,0,-0.005779433956229499
2002-07-31,9204.90909090909,85.51083510883991,0.032,20360.90909090909,1433.48,107.012648482143,132.644636666667,209.0925353,0.0249307479224376,106.28977272727272,6857.96,3.65,21.86,9909.947368421052,85.5796774838898,9014.952380952382,1,1,0,0,1,0,3,0,-0.0044621916417573
2002-08-31,9014.952380952382,85.39036095250262,0.023,21034.7619047619,1414.76,105.844256122449,149.61353,208.2197852625,0.0055248618784531,74.42857142857143,6723.27,3.07,35.07,9204.90909090909,85.51083510883991,9372.190476190475,1,0,0,0,0,0,3,0,0.007389438994403735
2002-09-30,9372.190476190475,85.52804570260238,0.014,22301.90476190476,1577.62,106.141079960317,173.342621746032,208.2197852625,-0.0027472527472528,42.47321428571428,6373.71,2.49,32.72,9014.952380952382,85.39036095250262,9574.0,1,0,0,0,0,0,3,0,0.009236119017879301
2002-10-31,9574.0,85.57107218700854,0.002,23526.272727272728,1382.19,105.131878911565,180.043966666667,200.08942965,0.0191780821917808,26.42613636363636,6408.74,2.09,26.63,9372.190476190475,85.52804570260238,9880.95,1,0,0,0,0,0,4,0,0.007318563774327033
2002-11-30,9880.95,86.67255018780673,0.005,25473.3,1351.53,105.338093367347,164.279183968254,210.21792350625,0.0198300283286119,14.209375,6184.57,1.82,23.72,9574.0,85.57107218700854,10261.33333333333,1,0,0,0,0,0,4,0,0.012086952591046633
2002-12-31,10261.33333333333,87.46423750088043,0.002,27673.57142857143,1239.45,107.906400680272,149.195988333333,208.24275236875,0.0229226361031518,18.62797619047619,6250.52,1.73,22.25,9880.95,86.67255018780673,9961.136363636364,1,0,0,0,0,0,4,1,0.020643582207848166
2003-01-31,9961.136363636364,89.23692865841501,0.013,29648.772727272728,1395.64,107.02530255102,140.483285555556,208.67359625,0.0552147239263804,13.92329545454546,6067.19,1.74,22.88,10261.33333333333,87.46423750088043,9691.05,0,0,0,1,0,0,1,0,0.03265579611938137
2003-02-28,9691.05,90.01140537772622,0.006,29415.25,1351.45,97.6706649659864,141.656504385965,209.613139105263,0.0253164556962024,16.85,6264.9,1.73,18.99,9961.136363636364,89.23692865841501,10360.5,0,0,0,1,0,0,1,0,0.034484605241911534
2003-03-31,10360.5,89.06482272079029,0.006,30386.6,1318.47,100.349578214286,129.2458475,210.22208075,0.0324675324675325,19.9375,6686.71,1.75,19.9,9691.05,90.01140537772622,10596.55,0,0,0,1,0,0,1,0,0.03766623736337176
2003-04-30,10596.55,91.73246475397336,0.001,30891.85,1348.87,103.238455272109,126.048273650794,221.70886125,0.0448275862068965,17.46875,5525.38,1.75,20.09,10360.5,89.06482272079029,11079.80952380952,0,1,0,1,1,0,2,0,0.0342038581235438
2003-05-31,11079.80952380952,92.42088850447225,-0.004,33203.71428571428,2037.9,104.205951552795,131.052411111111,232.412651,0.0176056338028169,10.33035714285714,5265.77,1.75,25.27,10596.55,91.73246475397336,11804.95,0,1,0,1,1,0,2,0,0.03163358415908196
2003-06-30,11804.95,92.93720631734638,-0.001,36152.15,1725.22,108.10048487395,118.157133809524,229.77497825,0.0142348754448398,9.121875,4726.58,1.73,34.05,11079.80952380952,92.42088850447225,12780.59090909091,0,1,0,1,1,0,2,0,0.025556031818184402
2003-07-31,12780.59090909091,94.05589491190705,0.004,38014.95454545454,1575.78,111.992209586466,115.775953333333,214.0320525,0.0035714285714285,4.076704545454546,4805.61,1.74,33.74,11804.95,92.93720631734638,13393.5,0,1,0,1,1,0,3,0,0.0118039792730284
2003-08-31,13393.5,93.7116830366576,0.0,38955.4,1211.83,116.245588293651,133.484491904762,208.21867425,-0.0443686006825939,2.809375,5040.59,1.75,37.65,12780.59090909091,94.05589491190705,12561.54545454545,0,0,0,1,0,0,3,0,-0.008854098888775199
2003-09-30,12561.54545454545,95.08853053765532,0.0,39755.18181818182,1050.29,122.932429135338,130.64998047619,231.69964825,0.0034246575342467,3.113636363636364,5024.13,1.75,35.24,13393.5,93.7116830366576,13242.09090909091,0,0,0,1,0,0,3,0,-0.0124575048589729
2003-10-31,13242.09090909091,96.1211661634036,0.006,41786.27272727273,1001.6,128.460194875776,130.056604492754,268.987847282609,0.0244755244755245,3.28125,5481.0,1.34,28.18,12561.54545454545,95.08853053765532,13333.57894736842,0,0,0,1,0,0,4,0,-0.0054894728909409
2003-11-30,13333.57894736842,96.37932506984068,0.002,43532.31578947369,1117.51,133.439499659864,141.347084035088,279.721085644737,-0.003472222222222,3.5,6195.84,1.24,28.21,13242.09090909091,96.1211661634036,13802.04761904762,0,0,0,1,0,0,4,0,0.008142653262516399
2003-12-31,13802.04761904762,97.06774882033956,0.002,45349.19047619047,953.44,129.285215714286,145.067495396825,283.185366068182,-0.0304054054054053,2.747023809523809,5776.17,1.24,27.42,13333.57894736842,96.37932506984068,14500.7619047619,0,0,0,1,0,0,4,1,-0.0031340343840342657
2004-01-31,14500.7619047619,98.4445963213373,0.004,46992.619047619046,713.88,123.278751020408,147.289612380952,300.8987522625,0.0242214532871971,1.851190476190476,5571.05,1.26,32.22,13802.04761904762,97.06774882033956,15006.5,0,0,0,0,0,0,1,0,-0.003218724780143399
2004-02-29,15006.5,98.18357797787056,0.001,46894.75,1031.3,104.49448877551,141.733859473684,316.551810197368,-0.0034129692832765,1.571875,5690.77,1.25,30.63,14500.7619047619,98.4445963213373,13531.08695652174,0,0,0,0,0,0,1,0,-0.003198973800494899
2004-03-31,13531.08695652174,97.77343649859702,0.006,44575.08695652174,967.52,104.0931375,142.548725,360.675360423913,0.010344827586207,1.505434782608696,5620.66,1.26,23.99,15006.5,98.18357797787056,15304.26315789474,0,0,0,0,0,0,1,0,0.0103844371967092
2004-04-30,15304.26315789474,95.1539150994344,0.009,46210.63157894737,1388.87,97.7269052721088,146.064823492064,363.50454925,0.028169014084507,1.651315789473684,4675.54,1.26,20.24,13531.08695652174,97.77343649859702,16251.4,0,1,0,0,1,0,2,0,0.011700290795812501
2004-05-31,16251.4,96.87749746899772,0.007,47068.75,1602.24,93.4151484693877,143.184267368421,347.87097975,-0.0205479452054794,3.2375,4886.98,1.22,20.36,15304.26315789474,95.1539150994344,17248.80952380952,0,1,0,0,1,0,2,0,0.005988632155078202
2004-06-30,17248.80952380952,98.6396974743446,0.006,48003.619047619046,911.36,93.7585103383459,136.86140984127,320.229696340909,-0.027027027027027,2.9821428571428568,5024.43,1.01,19.16,16251.4,96.87749746899772,17935.61904761905,0,1,0,0,1,0,2,0,-0.0064686527159997995
2004-07-31,17935.61904761905,100.8717524283984,0.005,46522.09523809524,1064.46,95.6085204081633,132.387431,289.785314,0.0,3.1994047619047614,5025.92,1.03,19.27,17248.80952380952,98.6396974743446,18073.0,0,1,0,0,1,0,3,0,-0.015858324077502133
2004-08-31,18073.0,102.20975841516832,0.003,46550.14285714286,913.32,96.03875875,122.05578,225.7900365,-0.016611295681063,4.190476190476192,5198.46,1.01,19.53,17935.61904761905,100.8717524283984,18191.04545454546,0,0,0,0,0,0,3,0,-0.014546107569363332
2004-09-30,18191.04545454546,102.34672306373008,0.006,46377.72727272727,976.72,94.3593936090225,126.8207655,206.447103,0.0,4.446022727272728,5420.57,1.01,18.02,18073.0,102.20975841516832,18392.15,0,0,0,0,0,0,3,0,-0.005537098560354333
2004-10-31,18392.15,103.13232393425764,0.004,46483.55,858.15,100.014011054422,123.056289365079,193.43370925,0.0134680134680134,4.38125,5391.69,1.0,17.4,18191.04545454546,102.34672306373008,18711.72727272727,0,0,0,0,0,0,4,0,-0.0010477607376832
2004-11-30,18711.72727272727,103.64959795144398,0.0,47096.22727272727,849.24,96.4708717687075,127.133086666667,195.8176755,0.0169491525423728,4.122159090909091,5208.72,0.98,16.83,18392.15,103.13232393425764,19318.45454545454,0,0,0,0,0,0,4,0,0.0101390553367954
2004-12-31,19318.45454545454,102.71712336642013,0.008,50634.63636363636,853.4,95.364812414966,123.554573043478,198.59095,0.0,4.011363636363637,4938.16,1.0,16.1,18711.72727272727,103.64959795144398,19850.0,0,0,0,0,0,0,4,1,0.0101390553367954
2005-01-31,19850.0,105.70228375576124,0.015,49971.47619047619,880.09,97.6152767857143,122.778962166667,195.6647954625,0.0,3.214285714285714,4990.36,1.01,16.0,19318.45454545454,102.71712336642013,20517.65,0,0,0,0,0,0,1,0,0.005649717514124267
2005-02-28,20517.65,105.99294846493947,0.009,49389.95,738.97,105.664287142857,123.129960877193,197.58924675,0.0205479452054795,2.925,5031.95,1.0,17.69,19850.0,105.70228375576124,20758.52380952381,0,0,0,0,0,0,1,0,0.006849315068493167
2005-03-31,20758.52380952381,106.76622731804092,0.015,49828.619047619046,856.87,99.2866364285714,129.955668333333,233.180530704545,0.006825938566553,3.0297619047619047,5100.95,1.0,15.7,20517.65,105.99294846493947,20632.52380952381,0,0,0,0,0,0,1,0,0.009124627924010833
2005-04-30,20632.52380952381,108.1166940651456,0.005,49920.52380952381,1180.94,97.0707683673469,120.064305079365,228.7645265,0.0068965517241379,3.9702380952380953,5794.85,1.0,17.71,20758.52380952381,106.76622731804092,21596.28571428571,0,1,0,0,1,0,2,0,0.011423478498723466
2005-05-31,21596.28571428571,109.21273088543292,0.006,50984.90476190476,1219.32,101.551246088435,119.154461904762,233.462471,0.0103806228373701,4.9434523809523805,6307.31,1.03,15.34,20632.52380952381,108.1166940651456,22582.2380952381,0,1,0,0,1,0,2,0,0.008034371042687
2005-06-30,22582.2380952381,108.6229118163501,0.009,51581.19047619047,726.58,95.9797064285714,122.473321666667,254.742401931818,0.0104166666666667,5.285714285714286,2962.05,1.26,15.5,21596.28571428571,109.21273088543292,23992.57142857143,0,1,0,0,1,0,2,0,0.009231280409391565
2005-07-31,23992.57142857143,109.178047396818,0.01,54436.47619047619,1251.97,102.676052210884,130.164439166667,253.3478115,0.0104529616724737,5.946428571428571,426.76,1.43,16.68,22582.2380952381,108.6229118163501,25104.772727272728,0,1,0,0,1,0,3,0,0.010416750392170167
2005-08-31,25104.772727272728,109.37031657391636,0.004,54185.045454545456,1211.7,102.7904075,131.558302173913,230.426931684783,0.0,5.323863636363637,419.34,1.61,14.08,23992.57142857143,109.178047396818,25578.45454545454,0,0,0,0,0,0,3,0,0.006956542779713467
2005-09-30,25578.45454545454,109.278535047962,0.012,53074.86363636364,1014.85,106.936502067669,137.386319365079,212.01552325,-0.013745704467354,5.784090909090909,396.8,1.76,14.97,25104.772727272728,109.37031657391636,26060.1,0,0,0,0,0,0,3,0,-0.0010975809316267667
2005-10-31,26060.1,109.92171940679034,0.008,55197.9,896.18,104.952080357143,143.072839206349,211.16691875,-0.0269360269360269,6.096875,391.42,1.93,13.58,25578.45454545454,109.278535047962,26507.72727272727,0,0,0,0,0,0,4,0,-0.0135605771344603
2005-11-30,26507.72727272727,111.14926191295235,0.012,55888.09090909091,572.78,107.910347368421,136.353997301587,210.9000895,-0.0235690235690236,6.778409090909091,380.13,2.16,12.46,26060.1,109.92171940679034,27323.09090909091,0,0,0,0,0,0,4,0,-0.021416918324134834
